index,doi,url,custom-analysis,cited-program,used-data,cited-data,used-results,cited-results,country,report,agency,bbs_auths,notes,bbs.og_citation
,,,,,,,,,,,,,,"Stuchbury, Bridget, J.M., Siddiqui, Raafia, Applegate, Kelly, Hvenegaard, Glen T., Mammenga, Paul, Mickle, Nanette, Pearman, Myrna, Ray, James D., Savage, Anne, Shaheen, Tim, Fraser, Kevin C. (2016). Ecological Causes and Consequences of Intratropical Migration in Temperate-Breeding Migratory Birds. American Naturalist. 188:28-40."
,,,,,,,,,,,,,,"Theimer, Tad C., Smith, Aaron D., Mahoney, Sean M., Ironside, Kirsten E. (2016). Available data support protection of the Southwestern Willow Flycatcher under the Endangered Species Act. Condor. 118:289-299."
,,,,,,,,,,,,,,"Troia, Matthew J., McManamay, Ryan A. (2016). Filling in the GAPS: evaluating completeness and coverage of open-access biodiversity databases in the United States. Ecology and Evolution. 6:4654–4669."
,,,,,,,,,,,,,,"Mahon, C. Lisa, Gillian, Holloway, Sólymos, Péter, Cumming, Steve G., Bayne, Erin M., Schmiegelow, Fiona K. A., Song, Samantha J. (2016). Community structure and niche characteristics of upland and lowland western boreal birds at multiple spatial scales. Forest Ecology and Management. 361:99-116."
,,,,,,,,,,,,,,"Ball, Jeffrey R., Sólymos, Péter, Schmiegelow, Fiona K. A., Hache, Samuel, Schieck, Jim, Bayne, Erin (2016). Regional habitat needs of a nationally listed species, Canada Warbler (Cardellina canadensis), in Alberta, Canada. Avian Conservation and Ecology. 11:10."
,,,,,,,,,,,,,,"Rosenberg, Kenneth V., Will, Tom, Buehler, David A., Barker Swarthout, Sara, Thogmartin, Wayne E., Bennett, Ruth E., Chandler, Richard  ""Dynamic distributions and population declines of Golden-winged Warblers: Chapter 1"" Golden-winged Warbler ecology, conservation, and habitat management Boca Raton, Florida:CRC Press. 2016. Mar-28"
,,,,,,,,,,,,,,"Land, Jim, Danz, Nick, Jones, Malcolm T., Hanowski, Jo Ann M., Niemi, Gerald J. Breeding bird monitoring in Great Lakes National Forests: 1991-2001. Duluth, Minnesota:Natural Resources Research Institute Technical Report, 2016."
,,,,,,,,,,,,,,"Niemi, Gerald J., Howe, Robert W., Sturtevant, Brian R., Parker, Linda R., Grinde, Alexis R., Danz, Nicholas P., Nelson, Mark D., Zlonis, Edmund J., Walton, Nicholas G., Gnass Giese, Erin E., Lietz, Sue M. Analysis of Long-term Forest  Bird Monitoring Data from National Forests  of the Western Great Lakes Region. Delaware, Ohio:U.S Forest Service Technical Report, 2016."
,,,,,,,,,,,,,,"Aldinger, Kyle R., Wood, Petra B. (2015). Variables associated with detection probability, detection latency, and behavioral responses of Golden-winged Warblers (Vermivora chrysoptera). Condor. 117:364-375."
,,,,,,,,,,,,,,"Dybala, Kristen E., Truan, Melanie L., Engilis Jr., Andrew (2015). Summer vs. winter: Examining the temporal distribution of avian biodiversity to inform conservation. Condor. 117:560-576."
,,,,,,,,,,,,,,"Ellis, Vicenzo A., Collins, Michael D., Medeiros, Matthew C.L., Sari, Eloisa H.R., Coffrey, Elyse D., Dickerson, Rebecca D., Lugarini, Camile, Stratford, Jeffrey A., Henry, Donata R., Merrill, Loren, Matthews, Alix E., Hanson, Alison A., Roberts, Jackson R., Joyce, Michael, Kunkel, Melanie R., Ricklefs, Robert E. (2015). Local host specialization, host-switching, and dispersal shape the regional distributions of avian haemosporidian parasites. Proceedings of the National Academy of Sciences of the United States of America. 112:11294-11299."
,,,,,,,,,,,,,,"Ethier, Danielle M., Nudds, Thomas D. (2015). Scalar considerations in population trend estimates: Implications for recovery strategy planning for species of conservation concern. Condor. 117:545-559."
,,,,,,,,,,,,,,"Fahey, Timothy J., Templer, Pamela H., Anderson, Bruce T., Battles, John J., Campbell, John L., Driscoll, Charles T. Jr., Fusco, Anthony R., Green, Mark B., Kassam, Karim-Aly S., Rodenhouse, Nicholas L., Rustard, Lindsey, Schaberg, Paul G., Vadebonceur, Matthew A. (2015). The promise and peril of intensive-site-based ecological research: insights from the Hubbard Brook ecosystem study. Ecology. 96:885–901 ."
,,,,,,,,,,,,,,"Forcey, Greg M., Thogmartin, Wayne E., Linz, George M., Mckann, Patrick C., Crimmins, Shawn M. (2015). Spatially explicit modeling of blackbird abundance in the Prairie Pothole Region. Journal of Wildlife Management. 79:1022–1033 ."
,,,,,,,,,,,,,,"Gutzwiller, Kevin J., Riffell, Samuel K., Flather, Curtis H. (2015). Avian abundance thresholds, human-altered landscapes, and the challenge of assemblage-level conservation. Landscape Ecology. 30:2095–2110 ."
,,,,,,,,,,,,,,"Hallworth, Michael T., Sillett, T. Scott, Van Wilgenburg, Steven L., Hobson, Keith A., Marra, Peter P. (2015). Migratory connectivity of a Neotropical migratory songbird revealed by archival light-level geolocators. Ecological Applications. 25:336–347."
,,,,,,,,,,,,,,"Lipsey, Marisa K., Doherty, Kevin E., Naugle, David E., Fields, Sean, Evans, Jeffrey S., Davis, Stephen K., Koper, Nicola (2015). One step ahead of the plow: Using cropland conversion risk to guide Sprague's Pipit conservation in the northern Great Plains. Biological Conservation. 191:739–749."
,,,,,,,,,,,,,,"Michel, Nicole L., Smith, Adam C., Clark, Robert G., Morrissey, Christy A., Hobson, Keith A. (2015). Differences in spatial synchrony and interspecific concordance inform guild-level population trends for aerial insectivorous birds. Ecography. 39:774–786."
,,,,,,,,,,,,,,"Pillar, Andrew G., Wilson, Scott, Flood, Nancy J., Reudlink, Matthew W. (2015). Population response to environmental productivity throughout the annual cycle in a migratory songbird. Population Ecology. 57:163-173."
,,,,,,,,,,,,,,"Twedt, Daniel J. (2015). Estimating regional landbird populations from enhanced North American Breeding Bird Surveys. Journal of Field Ornithology. 86:352–368 ."
,,,,,,,,,,,,,,"Yackulic, Charles B., Nichols, James D., Reid, Janice, Der, Ricky (2015). To predict the niche, model colonization and extinction. Ecology. 96:16-23."
,,,,,,,,,,,,,,"Zimmerman, Guthrie, S., Sauer, John R., Fleming, Kathy, Link, William A., Garrettson, Pamela R. (2015). Combining waterfowl and breeding bird survey data to estimate wood duck breeding population size in the Atlantic Flyway. Journal of Wildlife Management. 79:1051-1061."
,,,,,,,,,,,,,,"Barnagaud, Jean-Yves,  Papaïx, Julien,  Gimenez, Olivier,  Svenning, Jens-Christian (2015). Dynamic spatial interactions between the native invader Brown-headed Cowbird and its hosts. Diversity and Distributions. 21:511–522."
,,,,,,,,,,,,,,"Bateman, Brooke L.,  Pidgeon, Anna M.,  Radeloff, Volker C.,  Allstadt, Andrew J.,  Akçakaya, H. Resit,  Thogmartin, Wayne E., Vavrus, Stephen J., Heglund, Patricia J. (2015). The importance of range edges for an irruptive species during extreme weather events. Landscape Ecology. 30:1095–1110."
,,,,,,,,,,,,,,"Belmaker, Jonathan, Zarnetske, Phoebe, Tuanmu, Mao-Ning, Zonneveld, Sara, Record, Sydne, Strecker, Angela, Beaudrot, Lydia (2015). Empirical evidence for the scale dependence of biotic interactions. Global Ecology and  Biogeography  . 24:750–761."
,,,,,,,,,,,,,,"Chocron, Rachel, Flather, Curtis H., Kadmon, Ronen (2015). Bird diversity and environmental heterogeneity in North America: a test of the area–heterogeneity trade-off. Global Ecology and Biogeography. 24:1225–1235 ."
,,,,,,,,,,,,,,"Coristine, Laura E., Kerr, Jeremy T. (2015). Temperature-related geographical shifts among passerines: contrasting processes along poleward and equatorward range margins. Ecology and Evolution. 5:5162–5176 ."
,,,,,,,,,,,,,,"Distler, Trisha, Schuetz, Justin G., Velásquez-Tibatá, Jorge, Langham, Gary M. (2015). Stacked species distribution models and macroecological models provide congruent projections of avian species richness under climate change. Journal of Biogeography. 42:976–988."
,,,,,,,,,,,,,,"Dobson, LuAnna L., La Sorte, Frank A., Manne, Lisa L., Hawkins, Bradford A. (2015). The diversity and abundance of North American bird assemblages fail to track changing productivity. Ecology. 96:1105–1114 ."
,,,,,,,,,,,,,,"Ensing, David J., Pither, Jason (2015). A novel multiple-site extension to pairwise partitioned taxonomic beta diversity. Ecological Complexity. 21:62-69."
,,,,,,,,,,,,,,"Evans, Samuel G., Potts, Matthew D. (2015). Effect of Agricultural Commodity Prices on Species Abundance of US Grassland Birds. Environmental and Resource Economics. 62:549–565."
,,,,,,,,,,,,,,"Feldman, Richard E., Anderson, Michael G., Howerter, David W., Murray, Dennis L. (2015). Where does environmental stochasticity most influence population dynamics? An assessment along a regional core-periphery gradient for prairie breeding ducks. Global Ecology and Biogeography. 24:896–904 ."
,,,,,,,,,,,,,,"Fristoe, Trevor S. (2015). Energy use by migrants and residents in North American breeding bird communities. Global Ecology and  Biogeography . 24:406–415."
,,,,,,,,,,,,,,"Graves, Gary R. (2015). Recent large-scale colonisation of southern pine plantations by Swainson's Warbler limnothlypis swainsonii. Bird Conservation International. 25:280-293."
,,,,,,,,,,,,,,"Harris, David J. (2015). Generating realistic assemblages with a joint species distribution model. Methods in Ecology and Evolution. 6:465–473."
,,,,,,,,,,,,,,"Hostetler, Jeffrey A., Chandler, Richard B. (2015). Improved state-space models for inference about spatial and temporal variation in abundance from count data. Ecology. 96:1713–1723."
,,,,,,,,,,,,,,"Jarzyna, Marta A., Porter, William F., Maurer, Brian A., Zuckerberg, Benjamin, Finley, Andrew O. (2015). Landscape fragmentation affects responses of avian communities to climate change. Global Change Biology. 21:2942–2953."
,,,,,,,,,,,,,,"Keith, David, Akçakaya, Resit H., Butchart, Stuart H.M., Collen, Ben, Dulvy, Nicholas K., Holmes, Elizabeth E., Hutchings, Jeffrey A., Keinath, Doug, Shwartz, Michael K., Shelton, Andrew O., Waples, Robin S. (2015). Temporal correlations in population trends: Conservation implications from time-series analysis of diverse animal taxa. Biological Conservation. 192:247–257."
,,,,,,,,,,,,,,"Lacy, Anne E., Barzen, Jeb A., Moore, Dorn M., Norris, Kristin E. (2015). Changes in the number and distribution of Greater Sandhill Cranes in the Eastern Population. Journal of Field Ornithology. 86:317–325 ."
,,,,,,,,,,,,,,"Langham, Gary M., Schuetz, Justin G., Distler, Trisha, Soykan, Canadan U., Wilsey, Chad (2015). Conservation Status of North American Birds in the Face of Future Climate Change. PLoS One. 10:1-16."
,,,,,,,,,,,,,,"Macías-Duarte, Alberto,  Conway, Courtney J. (2015). Distributional Changes in the Western Burrowing Owl (Athene cunicularia hypugaea) in North America from 1967 to 2008. Journal of Raptor Research. 49:75- 83."
,,,,,,,,,,,,,,"Manthey, Joseph D., Campbell, Lindsay P., Saupe, Erin E.,  Soberón, Jorge, Hensz, Christopher M., Myers, Corinne, E., Owens, Hannah L., Ingenloff, Kate, Townsend Peterson, A., Barve, Narayani, Lira-Noriega, Andrés, Barve, Vijay (2015). A test of niche centrality as a determinant of population trends and conservation status in threatened and endangered North American birds. Endangered Species Research. 26:201-208."
,,,,,,,,,,,,,,"Redding, David W., Mooers, Arne O.,  Sekercioglu, Çagan H., Collen, Ben (2015). Global evolutionary isolation measures can capture key local conservation species in Nearctic and Neotropical bird communities. Philosophical Transactions of the Royal Society B. 370:1 to 7."
,,,,,,,,,,,,,,"Rushin, Clark S., Ryder, Thomas B., Scarpignato, Amy L., Saracco, James F., Marra, Peter P. (2015). Using demographic attributes from long-term monitoring data to delineate natural population structure. Journal of Applied Ecology. 53:491-500."
,,,,,,,,,,,,,,"Schlossberg, Scott, King, David I. (2015). Measuring the effectiveness of conservation programs for shrubland birds. Global Ecology and Conservation. 4:658-665."
,,,,,,,,,,,,,,"Schuetz, Justin G., Langham, Gary M., Soykan, Candan U., Wilsey, Chad B., Auer, Tom, Sanchez, Connie C. (2015). Making spatial prioritizations robust to climate change uncertainties: a case study with North American birds. Ecological Applications. 25:1819–1831."
,,,,,,,,,,,,,,"Schuetz, Justin, Soykan, Candan U., Distler, Trish, Langham, Gary (2015). Searching for backyard birds in virtual worlds: Internet queries mirror real species distributions. Biodiversity and Conservation. 24:1147–1154."
,,,,,,,,,,,,,,"Smith, Adam C., Hudson, Marie-Anne R., Downes, Constance M., Francis, Charles M. (2015). Change Points in the Population Trends of Aerial-Insectivorous Birds in North America: Synchronized in Time across Species and Regions. PLoS One. 10:1 to 23."
,,,,,,,,,,,,,,"Stanley, Calandra Q., McKinnon, Emily A., Fraser, Kevin C., MacPherson, Maggie P., Casbourn, Garth, Friesen, Lyle, Marra, Peter P., Studds, Colin, Ryder, T. Brandt, Diggs, Nora E., Stuchbury, Bridget J.M. (2015). Connectivtity of wood thrush breeding, wintering, and migration sites based on range-wide tracking. Conservation Biology. 29:164–174."
,,,,,,,,,,,,,,"Steadman, David W., Franklin, Janet (2015). Changes in a West Indian bird community since the late Pleistocene. Journal of Biogeography. 42:426–438 ."
,,,,,,,,,,,,,,"Stralberg, D, Matsuoka, S.M., Hamann, A., Bayne, E.M., Sólymos, P., Schmiegelow, F.K.A., Wang, X., S.G. Cumming, S.J. Song (2015). Projecting boreal bird responses to climate change: the signal exceeds the noise. Ecological Applications. 25:52-69."
,,,,,,,,,,,,,,"Thorson, James T., Scheuerell, Mark D., Shelton, Andrew O., See, Kevin E., Skaug, Hans J., Kristensen, Kasper (2015). Spatial factor analysis: a new tool for estimating joint species distributions and correlations in species range. Methods in Ecology and Evolution. 6:627–637."
,,,,,,,,,,,,,,"Tuanmu, Mao-Ning, Jetz, Walter (2015). A global, remote sensing-based characterization of terrestrial habitat heterogeneity for biodiversity and ecosystem modelling. Global Ecology and Biogeography. 24:1329–1339 ."
,,,,,,,,,,,,,,"Van Wilgenburg, Steven L., Beck, Elizabeth M., Obermayer, Brennan, Joyce, Timothy, Weddle, Brett (2015). Biased representation of disturbance rates in the roadside sampling frame in boreal forests: implications for monitoring design. Avian Conservation and Ecology. 10:1 to 14."
,,,,,,,,,,,,,,"White, LeAnn C., Ip, Hon S., Meteyer, Carol U., Walsh, Daniel P., Hall, Jeffrey S., Carstensen, Michelle, Wolf, Paul C. (2015). Spatial and temporal patterns of avian paramyxovirus-1 outbreaks in double-crested cormorants (Phalacrocorax auritus) in the USA. Journal of Wildlife Diseases. 51:101-112."
,,,,,,,,,,,,,,"Wommack, Elizabeth A., Dawson, Russell D., Shrimpton, Mark J., Bowie, Rauri  C.K. (2015). Conservation Genetics. 16:535–547 ."
,,,,,,,,,,,,,,"Wood, Eric M., Pidgeon, Anna M., Radeloff, Volker C., Helmers, David P., Culbert, Patrick D., Keuler, Nicholas S., Flather, Curtis H. (2015). Long-term avian community response to housing development at the boundary of US protected areas: effect size increases with time. Journal of Applied Ecology. 52:1227–1236."
,,,,,,,,,,,,,,"Zink, Robert M. (2015). Genetics, morphology, and ecological niche modeling do not support the subspecies status of the endangered Southwestern Willow Flycatcher (Empidonax traillii extimus). Condor. 117:76-86."
,,,,,,,,,,,,,,"Martin, Stephen G., Gavin, Thomas A., Renfrew, Rosalind, Strong, Allan M., Perlut, Noah G.  ""Demography and Populations"" Bobolink (Dolichonyx Oryzivorus) Ithaca, New York:Cornell Lab of Ornithology. 2015. 66"
,,,,,,,,,,,,,,"Kovatch, Leah Catherine The response of the avian community to 40 years of land cover change within the Aspen Parkland and Moist-mixed Grassland ecoregions of the Canadian prairies. Regina, Saskatchewan:Ph.D. dissertation, University of Regina, 2015."
,,,,,,,,,,,,,,"Whitney, Suzanne E. Examining Avian Communities in Wetlands at Multiple Spatial Extents. Ph.D. dissertation, Texas State University, 2015."
,,,,,,,,,,,,,,"Environment Canada Management Plan for the Rusty Blackbird (Euphagus carolinus) in Canada. Ottawa:Environment Canada Technical Report, 2015."
,,,,,,,,,,,,,,"Diffendorfer, J.E., Beston, J.A., Merrill, M.D., Stanton, J.C., Corum, M.D., Loss, S.R., Thogmartin, W.E., Johnson, D.H., Erickson, R.A., Heist, K.W. Preliminary Methodology to Assess the National and Regional Impact of U.S. Wind Energy Development on Birds and Bats. Reston, Virginia:U.S. Geological Survey Technical Report, 2015."
,,,,,,,,,,,,,,"Farrell, Patrick The use of a small scale study and regional data sources to understand grassland bird habitat relationships. Auburn, Alabama:Franklin and  Marshall College Technical Report, 2015."
,,,,,,,,,,,,,,"Drum, Ryan G., Loesch, Charles R., Carrlson, Kaylan M., Doherty, Kevin E., Fedy, Bradley C. Assessing the Biological Benefits of the USDA-Conservation Reserve Program (CRP) for Waterfowl and Grassland Passerines in the Prairie Pothole Region of the United States: Spatial analyses for targeting CRP to maximize benefits for migratory birds. Prairie Pothole Joint Venture Technical Report, 2015."
,,,,,,,,,,,,,,"Auer, Sonya K., King, David I. (2014). Ecological and life-history traits explain recent  boundary shifts in elevation and latitude of  western North American songbirds  . Global Ecology and  Biogeography  . 23:867-875   ."
,,,,,,,,,,,,,,"Boucher-Lalonde, Véronique,  Thériault, Francois L., Currie, David J. (2014). Can climate explain interannual local extinctions among bird species?. Journal of Biogeography. 41:443–451."
,,,,,,,,,,,,,,"Cummings, Katherine, Veech, Joseph A. (2014). Assessing the influence of geography, land cover and host species on the local abundance of a generalist brood parasite, the brown-headed cowbird. Diversity and Distributions. 20:396–404."
,,,,,,,,,,,,,,"Hill, Jason M., Egan, Franklin J., Stauffer, Glenn E., Diefenbach, Duane R. (2014). Habitat Availability Is a More Plausible Explanation than Insecticide Acute Toxicity for U.S. Grassland Bird Species Declines. PLoS One. 9:1-8."
,,,,,,,,,,,,,,"Kalyuzhny, Michael, Seri, Efrat, Chocron, Rachel, Flather, Curtis H., Kadmon, Ronen, Shnerb, Nadav M. (2014). Niche versus Neutrality: A Dynamical Analysis. American Naturalist. 184:439-446."
,,,,,,,,,,,,,,"Smith, Adam C., Hudson, Marie-Anne R., Downes, Constance, Francis, Charles M. (2014). Estimating Breeding Bird Survey Trends and  Annual Indices for Canada: How Do the New  Hierarchical Bayesian Estimates Differ from  Previous Estimates? . Canadian Field-Naturalist. 28:119-134."
,,,,,,,,,,,,,,"Wood, Eric M., Pidgeon, Anna M., Radeloff, Volker C., Helmers, David, Culbert, Patrick D., Keuler, Nicholas S., Flather, Curtis H. (2014). Housing development erodes avian community structure in U.S. protected areas. Ecological Applications. 24:1445–1462."
,,,,,,,,,,,,,,"Wootton, Timothy J., Bell, Douglas A. (2014). Assessing predictions of population viability analysis: Peregrine Falcon populations in California. Ecological Applications. 24:1251–1257."
,,,,,,,,,,,,,,"Barbet-Massin, Morgane, Jetz, Walter (2014). A 40-year, continent-wide, multispecies assessment of relevant climate predictors for species distribution modelling. Diversity and Distributions. 20:1285–1295."
,,,,,,,,,,,,,,"Booms, Travis L., Holroyd, Geoffrey L., Gahbauer, Marcel A., Trefry, Helen E., Wiggins, David A., Holt, Denver W., Johnson, James A., Lewis, Stephen B., Larson, Matt D., Keyes, Kristen L., Swengel, Scott (2014). Assessing the status and conservation priorities of the short-eared owl in North America. Journal of Wildlife Management. 78:772–778."
,,,,,,,,,,,,,,"Börger, Luca, Nudds, Thomas D. (2014). Fire, humans, and climate: modeling distribution dynamics of boreal forest waterbirds. Ecological Applications. 24:121-141."
,,,,,,,,,,,,,,"Butcher, Jerrod A., Collier, Bret A., Silvy, Nova J., Roverson, Jay A., Mason, Corey D., Peterson, Markus, J. (2014). Spatial and temporal patterns of range expansion of white-winged doves in the USA from 1979 to 2007. Journal of Biogeography. 41:1947–1956 ."
,,,,,,,,,,,,,,"Farmer, Robert G., Leonard Marty L., Mills Flemming, Joanna E., Anderson, Sean C. (2014). Observer aging and long-term avian survey data quality. Ecology and Evolution. 4:2563–2576 ."
,,,,,,,,,,,,,,"Feldman, R. E., McGill, B. J. (2014). How important is nectar in shaping spatial variation in the abundance of temperate breeding hummingbirds?. Journal of Biogeography. 41:489-500."
,,,,,,,,,,,,,,"Feldman, Richard E., McGill, Brian J. (2014). How important is nectar in shaping spatial variation in the abundance of temperate breeding hummingbirds?. Journal of Biogeography. 41:489–500."
,,,,,,,,,,,,,,"Forcey, Greg M., Thogmartin, Wayne E., Linz, George M., McKann, Patrick C. (2014). Land use and climate affect Black Tern, Northern Harrier, and Marsh Wren abundance in the Prairie Pothole Region of the United States. Condor. 116:226-241."
,,,,,,,,,,,,,,"García-Pérez, Belén, Hobson, Keith A. (2014). A multi-isotope (d2H, d13C, d15N) approach to establishing migratory connectivity of Barn Swallow (Hirundo rustica). Ecosphere. 5:1-12."
,,,,,,,,,,,,,,"Goetz, Scott J., Sun, Mindy, Zolkos, Scott, Hansen, Andy, Dubayah, Ralph (2014). The relative importance of climate and vegetation properties on patterns of North American breeding bird species richness. Environmental Research Letters. 9:1 to 18."
,,,,,,,,,,,,,,"Goodwin, Sarah E., Shriver, Gregory W. (2014). Using a bird community index to evaluate national parks in the urbanized national capital region. Urban Ecosystems. 17:979-990."
,,,,,,,,,,,,,,"Gutiérrez Illán, J., Thomas, Chris D., Jones, Julia A., Wong, Weng-Keen, Shirley, Susan M., Betts, Matthew G. (2014). Precipitation and winter temperature predict  long-term range-scale abundance changes in  Western North American birds  . Global Change Biology. 20:3351–3364."
,,,,,,,,,,,,,,"Hines, James E.,  Nichols, James D., Collazo, Jaime A. (2014). Multiseason occupancy models for correlated replicate surveys. Methods in Ecology and Evolution. 5:583–591."
,,,,,,,,,,,,,,"Hobson, Keith A.,  Van Wilgenburg, Steven L., Faaborg, John, Toms, Judith D., Rengifo, Carlos, Llanes Sosa, Alejandro, Aubry, Yves, Brito Aguilar, Rafael (2014). Connecting breeding and wintering grounds of Neotropical migrant songbirds using stable hydrogen isotopes: a call for an isotopic atlas of migratory connectivity. Journal of Field Ornithology. 85:237–257."
,,,,,,,,,,,,,,"Hobson, Keith A., Van Wilgenburg, Steven L., Faaborg, John, Toms, Judith D., Rengifo, Carlos, Llanes Sosa, Alejandro, Aubry, Yves, Brito Aguilar, Rafael (2014). Connecting breeding and wintering grounds of Neotropical migrant songbirds using stable hydrogen isotopes: a call for an isotopic atlas of migratory connectivity. Journal of Field Ornithology. 85:237–257 ."
,,,,,,,,,,,,,,"Huang, Qiongyu,  Swatantran, Anu, Dubayah, Ralph, Goetz, Scott J. (2014). The Influence of Vegetation Height Heterogeneity on Forest and Woodland Bird Species Richness  across the United States . PLoS One. 9:1-10."
,,,,,,,,,,,,,,"Karanth, Krithi K., Nichols, James D., Sauer, John R., Hines, James E., Yackulic, Charles B. (2014). Latitudinal gradients in North American avian species richness, turnover rates and extinction probabilities. Ecography. 37:626–636."
,,,,,,,,,,,,,,"Kirchman, Jeremy J., Schneider, Kathryn J. (2014). Range expansion and the breakdown of Bergmann's Rule in Red-Bellied Woodpeckers (Melanerpes carolinus). Wilson Journal of Ornithology. 126:236-248."
,,,,,,,,,,,,,,"Knick, S. T., Leu, M. , Rotenberry, J. T., Hanser, S.E., Fesenmyer, K.A. (2014). Diffuse migratory connectivity in two species of shrubland birds: evidence from stable isotopes. Oecologia. 174:595-608."
,,,,,,,,,,,,,,"Knick, Stephen T., Leu, Matthias, Rotenberry, John T., Hanser, Steven E., Fesenmyer, Kurt A. (2014). Diffuse migratory connectivity in two species of shrubland birds: evidence from stable isotopes. Oecologia. 174:595-608."
,,,,,,,,,,,,,,"Machtans, Craig S., Kardynal, Kevin J., Smith, Paul A. (2014). How well do regional or national Breeding Bird Survey data predict songbird population trends at an intact boreal site?. Avian Conservation and Ecology. 9:1-27."
,,,,,,,,,,,,,,"Manore, Carrie A., Davis, Justin K., Chrisofferson, Rebecca C., Wesson, Dawn M., Hyman, James M., Nores, Christopher N. (2014). Towards an Early Warning System for Forecasting Human West Nile Virus Incidence. PLoS Currents. 6:"
,,,,,,,,,,,,,,"McIntyre, Nancy E., Wright, Christopher K., Swain, Sharmistha, Hayhoe, Katharine, Liu, Ganming, Shwartz, Frank W., Henebry, Geoffrey M. (2014). Climate forcing of wetland landscape connectivity in the Great Plains. Frontiers in Ecology and the Environment. 12:59-64."
,,,,,,,,,,,,,,"Perlut, Noah G. (2014). Grassland Birds and Dairy Farms in the Northeastern United States. Wildlife Society Bulletin. 38:574–579."
,,,,,,,,,,,,,,"Pidgeon, Anna M., Flather, Curtis H., Radeloff, Volker C.,  Lepczyk, Christopher A., Keuler, Nischolas S., Wood, Eric M., Stewart, Susan I., Hammer, Roger B. (2014). Systematic Temporal Patterns in the Relationship Between Housing Development and Forest Bird Biodiversity. Conservation Biology. 28:1291–1301."
,,,,,,,,,,,,,,"Rioux Paquette, S ébastien,  Pelletier, Fanie, Garant, Dany, Bélisle, Marc (2014). Severe recent decrease of adult body mass in a decling insectivorous bird population. Proceedings of the Royal Society B. 281:"
,,,,,,,,,,,,,,"Rispoli, Fred J., Zeng, Suhua, Green, Tim, Higbie, Jennifer (2014). Even birds follow Pareto's 80–20 rule. Significance. 11:37-38."
,,,,,,,,,,,,,,"Rushing, Clark S., Ryder, Thomas B., Saracco, James F., Marra, Peter P. (2014). Assessing migratory connectivity for a long-distance migratory bird using multiple intrinsic markers. Ecological Applications. 24:445–456."
,,,,,,,,,,,,,,"Scheidt, Spencer N., Hurlbert, Allen H. (2014). Range Expansion and Population Dynamics of an Invasive Species: The Eurasian Collared-Dove (Streptopelia decaocto). PLoS One. 9:1 to 10."
,,,,,,,,,,,,,,"Steen, Valerie, Skagen, Susan K., Noon, Barry R. (2014). Vulnerability of Breeding Waterbirds to Climate Change in the Prairie Pothole Region, U.S.A. PLoS One. 9:1 to 14."
,,,,,,,,,,,,,,"Sundstrom, Shana M., Allen, Craig R. (2014). Complexity versus certainty in understanding species' declines. Diversity and Distributions. 20:344–355 ."
,,,,,,,,,,,,,,"Thogmartin, Wayne E., Crimmins, Shawn M., Pearce, Jennie (2014). Prioritizing bird conservation actions in the Prairie Hardwood transition of the Midwestern United States. Biological Conservation. 176:212-223."
,,,,,,,,,,,,,,"Wellicome, Troy I., Kardynal, Kevin J., Franken, Renee J., Gillies, Cameron S. (2014). Off-road sampling reveals a different grassland bird community than roadside sampling: implications for survey design and estimates to guide conservation. Avian Conservation and Ecology. 9:"
,,,,,,,,,,,,,,"Baldassarre, Guy  ""Wood Duck"" Ducks, Geese and Swans of North America Baltimore, Maryland:John Hopkins University Press. 2014. 271-296"
,,,,,,,,,,,,,,"Sauer, John R., Link, William A., Fallon, Jane E., Pardieck, Keith L., Ziolkowski, David J. Jr. (2013). The North American Breeding Bird Survey 1966–2011: Summary Analysis and Species Accounts. North American Fauna. 79:1 – 32."
,,,,,,,,,,,,,,"Bahn, V., McGill, B. J. (2013). Testing the predictive performance of distribution models. Oikos. 122:321-331."
,,,,,,,,,,,,,,"Betts, Matthew G., Verschuyl, Jake, Giovanni, Jack, Stokely, Thomas, Kroll, Andrew J. (2013). Initial experimental effects of intensive forest management on avian abundance. Forest Ecology and Management. 310:1036-1044."
,,,,,,,,,,,,,,"Bled, Florent, Sauer, John, Pardieck, Keith, Sauer, John, Doherty, Paul, Royle, Andrew J. (2013). Modeling Trends from North American Breeding Bird Survey Data: A Spatially Explicit Approach. PLoS One. 8:1-14."
,,,,,,,,,,,,,,"Chollet, S., Martin, J. L. (2013). Declining woodland birds in North America: should we blame Bambi?. Diversity and Distributions. 19:481-483."
,,,,,,,,,,,,,,"Coyle, Jessica R., Hurlbert, Allen H., White, Ethan P. (2013). Opposing Mechanisms Drive Richness Patterns of Core and Transient Bird Species. American Naturalist. 181:83-89."
,,,,,,,,,,,,,,"Crowder, David W., Dykstra, Elizabeth A., Brauner, Jo Marie, Duffy, Anne, Reed, Caitlin, Martin, Emily, Peterson, Wade, Carrière, Yves, Dutilleul, Pierre, Owen, Jeb P. (2013). West Nile Virus Prevalence across Landscapes Is Mediated by Local Effects of Agriculture on Vector and Host Communities. PLoS One. 8:1 to 8."
,,,,,,,,,,,,,,"Culbert, Patrick D., Radeloff, Vlker C., Flather, Curtis H., Kellndorfer, Josef M., Rittenhouse, Chadwick D., Pidgeon, Anna M. (2013). The Influence of Vertical and Horizontal Habitat Structure on Nationwide Patterns of Avian Biodiversity. Auk. 130:656-665."
